TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
215	0.1161	0	0	0	0.0186401	0.401763	0	0.0416893	0	0.205374	0.0385397	0.131339
216	0.11664	0	0	0	0.0186513	0.402746	0.000641747	0.0410744	0	0.19543	0.0397385	0.122989
217	0.11718	0	0	0	0.0186626	0.401677	0.00191937	0.0409446	0	0.171781	0.0386946	0.107788
218	0.11772	0	0	0	0.0186742	0.398747	0.00307949	0.0412908	0	0.136957	0.0355696	0.0870771
219	0.11826	0	0.00286242	0.000418758	0.0186861	0.394224	0.0040974	0.0420757	0	0.093949	0.0306406	0.0621789
220	0.1188	0	0.00910482	0.000988986	0.0186984	0.388428	0.00489314	0.0432473	0.0110801	0.0456926	0.0242329	0.0346728
221	0.11934	0.00021718	0.0148266	0.00150271	0.018711	0.381732	0.00540417	0.0447314	0.0625645	0	0.016752	0.00634901
222	0.11988	0.000803178	0.0196517	0.001921	0.018724	0.374578	0.00556019	0.0464304	0.117755	0	0.00868539	0
223	0.12042	0.00140521	0.0232101	0.00221802	0.0187375	0.367481	0.00541563	0.0482244	0.171986	0	0.000590441	0
224	0.12096	0.00198272	0.0252951	0.00238272	0.0187514	0.360901	0.00499817	0.0499989	0.221162	0	0	0
225	0.1215	0.00250215	0.0258875	0.00240956	0.018766	0.355204	0.00431982	0.0516556	0.262246	0	0	0
226	0.12204	0.00293303	0.0250081	0.00230004	0.0187814	0.350691	0.00343153	0.0531032	0.292847	0	0	0
227	0.12258	0.0032644	0.0227419	0.00206234	0.0187975	0.34761	0.00237544	0.0542625	0.311325	0	0	0
228	0.12312	0.0034723	0.0192396	0.00171179	0.0188143	0.346134	0.00122221	0.0550701	0.316818	0	0	0
